Nombre,Frecuencia,Edad Media (*),Gender,Is_Compound,Percentage,Popularity,Character_Count,Syllable_Count
AYOUB,8757,17.7,Male,False,0.0548535459807641,211,5,2
FAUSTINO,8736,65.4,Male,False,0.0547220027050308,212,8,3
IBAI,8730,15.9,Male,False,0.0546844189119642,213,4,2
MAURO,8730,20.6,Male,False,0.0546844189119642,214,5,2
RAYAN,8696,8.0,Male,False,0.0544714440845865,215,5,2
HAMZA,8693,21.1,Male,False,0.0544526521880532,216,5,2
RAMIRO,8676,58.4,Male,False,0.0543461647743644,217,6,3
FIDEL,8665,59.6,Male,False,0.0542772611537422,218,5,2
CLAUDIO,8629,54.3,Male,False,0.0540517583953424,219,7,2
ANDREU,8616,31.6,Male,False,0.053970326843698,220,6,2
AMADOR,8420,61.2,Male,False,0.052742589603521,221,6,3
IAGO,8374,17.7,Male,False,0.0524544471900101,222,4,2
ARITZ,8288,20.7,Male,False,0.0519157461560549,223,5,2
AIMAR,8200,12.0,Male,False,0.0513645171910775,224,5,2
ROGELIO,8023,61.7,Male,False,0.0502557952956115,225,7,3
ION,8004,43.1,Male,False,0.0501367799509005,226,3,1
LUCIANO,7991,60.9,Male,False,0.0500553483992561,227,7,3
KHALID,7981,38.1,Male,False,0.049992708744145,228,6,2
ALAN,7932,18.8,Male,False,0.0496857744341008,229,4,2
JOSUE,7826,28.9,Male,False,0.0490217940899234,230,5,2
CAYETANO,7770,41.9,Male,False,0.0486710120213014,231,8,4
JOAQUIM,7762,52.0,Male,False,0.0486209002972126,232,7,2
BILAL,7716,19.7,Male,False,0.0483327578837017,233,5,2
LEANDRO,7657,48.2,Male,False,0.0479631839185464,234,7,2
ILDEFONSO,7532,60.5,Male,False,0.047180188229658,235,9,4
FABIO,7490,22.7,Male,False,0.0469171016781915,236,5,2
FABIAN,7439,35.4,Male,False,0.046597639437125,237,6,2
ABDELLAH,7402,41.2,Male,False,0.0463658727132141,238,8,3
MARKEL,7311,13.4,Male,False,0.0457958518517033,239,6,2
MODESTO,7273,65.4,Male,False,0.0455578211622813,240,7,3
MANEL,7194,34.5,Male,False,0.0450629678869038,241,5,2
NESTOR,7147,33.3,Male,False,0.0447685615078818,242,6,2
HICHAM,7099,35.3,Male,False,0.0444678911633486,243,6,2
FLORENTINO,7062,67.4,Male,False,0.0442361244394377,244,10,4
ROBERT,7024,40.2,Male,False,0.0439980937500156,245,6,2
OIER,6879,15.9,Male,False,0.0430898187509051,246,4,1
CONSTANTINO,6799,61.8,Male,False,0.0425887015100165,247,11,4
PAULINO,6786,64.9,Male,False,0.0425072699583721,248,7,3
IMANOL,6731,33.4,Male,False,0.0421627518552613,249,6,3
BRAIS,6717,17.4,Male,False,0.0420750563381058,250,5,1
ELADIO,6676,64.5,Male,False,0.0418182337521504,251,6,3
MARCELO,6667,44.7,Male,False,0.0417618580625504,252,7,3
IBRAHIM,6606,21.1,Male,False,0.0413797561663729,253,7,3
AVELINO,6605,66.2,Male,False,0.0413734922008618,254,7,4
LIAM,6598,5.0,Male,False,0.041329644442284,255,4,1
CELESTINO,6564,65.8,Male,False,0.0411166696149064,256,9,4
ANAS,6538,12.4,Male,False,0.0409538065116176,257,4,2
YASSINE,6494,24.3,Male,False,0.0406781920291289,258,7,3
ABDELKADER,6466,48.2,Male,False,0.0405028009948179,259,10,4
BRAHIM,6448,38.9,Male,False,0.040390049615618,260,6,2
RICARD,6379,40.6,Male,False,0.0399578359953516,261,6,2
NOEL,6344,20.9,Male,False,0.0397385972024628,262,4,1
ANDONI,6329,34.0,Male,False,0.0396446377197962,263,6,3
SATURNINO,6274,68.8,Male,False,0.0393001196166854,264,9,4
BERNAT,6265,25.1,Male,False,0.0392437439270854,265,6,2
GASPAR,6204,57.6,Male,False,0.0388616420309079,266,6,2
VASILE,6149,48.3,Male,False,0.038517123927797,267,6,3
JOSU,6138,35.7,Male,False,0.0384482203071748,268,4,2
DIDAC,6125,19.8,Male,False,0.0383667887555304,269,5,2
GHEORGHE,6116,50.8,Male,False,0.0383104130659304,270,8,2
RUFINO,6112,67.0,Male,False,0.038285357203886,271,6,3
AXEL,5977,13.0,Male,False,0.0374397218598866,272,4,2
ANTON,5914,24.5,Male,False,0.0370450920326868,273,5,2
NOAH,5878,6.9,Male,False,0.036819589274287,274,4,1
MARCEL,5872,30.8,Male,False,0.0367820054812203,275,6,2
CLEMENTE,5818,61.8,Male,False,0.0364437513436206,276,8,3
JOSEBA,5765,38.3,Male,False,0.0361117611715319,277,6,3
ABDELAZIZ,5736,45.1,Male,False,0.0359301061717098,278,9,4
MAX,5693,11.1,Male,False,0.0356607556547322,279,3,1
BASILIO,5689,61.6,Male,False,0.0356356997926878,280,7,3
ABDERRAHIM,5675,40.1,Male,False,0.0355480042755323,281,10,4
AMIR,5650,8.5,Male,False,0.0353914051377546,282,4,2
RAIMUNDO,5634,61.5,Male,False,0.0352911816895769,283,8,3
ADAN,5575,22.6,Male,False,0.0349216077244216,284,4,2
KARIM,5514,30.3,Male,False,0.034539505828244,285,5,2
MICHAEL,5457,38.0,Male,False,0.0341824597941109,286,7,2
IOAN,5388,50.2,Male,False,0.0337502461738445,287,4,1
FELICIANO,5381,66.7,Male,False,0.0337063984152668,288,9,4
HILARIO,5367,64.9,Male,False,0.0336187028981113,289,7,3
MAURICIO,5347,47.9,Male,False,0.0334934235878892,290,8,3
EVARISTO,5304,63.9,Male,False,0.0332240730709115,291,8,4
HAMID,5287,43.4,Male,False,0.0331175856572227,292,5,2
MARCIAL,5250,61.9,Male,False,0.0328858189333118,293,7,2
ALAIN,5207,24.1,Male,False,0.0326164684163342,294,5,2
PATRICIO,5203,54.4,Male,False,0.0325914125542897,295,8,3
ISMAIL,5181,23.4,Male,False,0.0324536053130454,296,6,2
BRIAN,5142,26.5,Male,False,0.0322093106581122,297,5,1
PELAYO,5137,21.7,Male,False,0.0321779908305567,298,6,3
ELISEO,5134,61.5,Male,False,0.0321591989340234,299,6,3
ZAKARIA,5133,18.1,Male,False,0.0321529349685122,300,7,3
MAMADOU,5109,36.5,Male,False,0.0320025997962457,301,7,3
LAUREANO,5049,63.7,Male,False,0.0316267618655793,302,8,3
ROQUE,4987,43.7,Male,False,0.0312383960038906,303,5,2
NARCISO,4986,63.4,Male,False,0.0312321320383795,304,7,3
CAMILO,4966,54.1,Male,False,0.0311068527281574,305,6,3
LLUC,4866,12.3,Male,False,0.0304804561770467,306,4,1
LEOPOLDO,4842,59.7,Male,False,0.0303301210047801,307,8,3
TEO,4841,8.0,Male,False,0.030323857039269,308,3,1
CECILIO,4832,63.6,Male,False,0.030267481349669,309,7,3
BERNARDINO,4831,64.3,Male,False,0.0302612173841579,310,10,4
BENIGNO,4830,66.9,Male,False,0.0302549534186468,311,7,3
PAUL,4788,35.4,Male,False,0.0299918668671803,312,4,1
DENIS,4743,22.3,Male,False,0.0297099884191805,313,5,2
MOUSSA,4722,34.8,Male,False,0.0295784451434473,314,6,2
ELOI,4702,20.4,Male,False,0.0294531658332251,315,4,2
CONSTANTIN,4701,47.9,Male,False,0.029446901867714,316,10,3
JAMAL,4667,39.3,Male,False,0.0292339270403364,317,5,2
SEGUNDO,4642,68.4,Male,False,0.0290773279025587,318,7,3
VALERIANO,4514,65.3,Male,False,0.028275540317137,319,9,4
OCTAVIO,4497,54.5,Male,False,0.0281690529034482,320,7,3
RODOLFO,4495,57.7,Male,False,0.028156524972426,321,7,3
DEMETRIO,4453,65.5,Male,False,0.0278934384209595,322,8,3
MARIAN,4450,43.8,Male,False,0.0278746465244262,323,6,2
CESAREO,4427,65.7,Male,False,0.0277305753176707,324,7,3
AZIZ,4422,40.0,Male,False,0.0276992554901152,325,4,2
BEÑAT,4380,19.6,Male,False,0.0274361689386487,326,5,2
DRISS,4360,46.4,Male,False,0.0273108896284265,327,5,1
ADAY,4334,12.1,Male,False,0.0271480265251377,328,4,2
AYMAN,4318,11.4,Male,False,0.02704780307696,329,5,2
ABDESLAM,4306,51.5,Male,False,0.0269726354908268,330,8,3
ALESSANDRO,4306,28.2,Male,False,0.0269726354908268,331,10,4
BERNABE,4265,56.9,Male,False,0.0267158129048714,332,7,3
IGNASI,4247,37.5,Male,False,0.0266030615256714,333,6,3
LAZARO,4234,54.4,Male,False,0.026521629974027,334,6,3
SAMIR,4188,32.5,Male,False,0.0262334875605161,335,5,2
NABIL,4187,27.6,Male,False,0.026227223595005,336,5,2
KILIAN,4186,15.2,Male,False,0.0262209596294939,337,6,2
BIENVENIDO,4167,63.4,Male,False,0.0261019442847829,338,10,4
NOE,4145,24.4,Male,False,0.0259641370435385,339,3,1
LUCIO,4138,64.1,Male,False,0.0259202892849608,340,5,2
UNAX,4133,10.8,Male,False,0.0258889694574052,341,4,2
BALTASAR,4117,60.5,Male,False,0.0257887460092275,342,8,3
IMRAN,4106,11.9,Male,False,0.0257198423886053,343,5,2
YASSIN,4098,17.6,Male,False,0.0256697306645165,344,6,2
NICOLAE,4086,46.8,Male,False,0.0255945630783832,345,7,3
YOUNES,4069,24.0,Male,False,0.0254880756646944,346,6,2
ANIBAL,4061,40.6,Male,False,0.0254379639406055,347,6,3
CIPRIANO,4060,67.2,Male,False,0.0254316999750944,348,8,3
VICENT,4052,32.4,Male,False,0.0253815882510056,349,6,2
ANSELMO,4047,63.9,Male,False,0.02535026842345,350,7,3
ADIL,4034,32.9,Male,False,0.0252688368718056,351,4,2
FLORIN,4024,40.9,Male,False,0.0252061972166946,352,6,2
ANASTASIO,4008,69.0,Male,False,0.0251059737685169,353,9,4
IBON,3992,32.0,Male,False,0.0250057503203391,354,4,2
ORLANDO,3989,51.1,Male,False,0.0249869584238058,355,7,3
AMADEO,3982,62.0,Male,False,0.0249431106652281,356,6,3
CELSO,3894,62.4,Male,False,0.0243918817002507,357,5,2
IBAN,3889,38.3,Male,False,0.0243605618726951,358,4,2
PLACIDO,3867,63.6,Male,False,0.0242227546314508,359,7,3
ROC,3798,10.5,Male,False,0.0237905410111844,360,3,1
FULGENCIO,3796,62.7,Male,False,0.0237780130801622,361,9,3
EULOGIO,3770,66.1,Male,False,0.0236151499768734,362,7,3
ALEXANDRU,3737,36.0,Male,False,0.0234084391150069,363,9,4
CASIMIRO,3690,67.6,Male,False,0.0231140327359848,364,8,4
GAIZKA,3686,29.0,Male,False,0.0230889768739404,365,6,2
BALDOMERO,3631,62.2,Male,False,0.0227444587708295,366,9,4
TEOFILO,3629,69.0,Male,False,0.0227319308398073,367,7,3
MAXIMILIANO,3616,46.9,Male,False,0.0226504992881629,368,11,5
NORBERTO,3609,54.8,Male,False,0.0226066515295852,369,8,3
YOEL,3607,14.5,Male,False,0.022594123598563,370,4,1
YAHYA,3605,22.9,Male,False,0.0225815956675407,371,5,2
HERMINIO,3579,65.4,Male,False,0.022418732564252,372,8,3
NACHO,3555,10.6,Male,False,0.0222683973919854,373,5,2
MAXIMINO,3504,66.3,Male,False,0.0219489351509189,374,8,4
BELTRAN,3489,13.4,Male,False,0.0218549756682523,375,7,2
ANXO,3477,16.2,Male,False,0.021779808082119,376,4,2
NOUREDDINE,3461,41.4,Male,False,0.0216795846339413,377,10,4
EDER,3446,18.2,Male,False,0.0215856251512747,378,4,2
OUSSAMA,3446,20.4,Male,False,0.0215856251512747,379,7,3
ERICK,3405,9.9,Male,False,0.0213288025653193,380,5,2
IBRAHIMA,3401,34.2,Male,False,0.0213037467032749,381,8,4
VIDAL,3381,59.7,Male,False,0.0211784673930528,382,5,2
ANDREI,3349,30.3,Male,False,0.0209780204966973,383,6,2
MARINO,3334,61.1,Male,False,0.0208840610140307,384,6,3
AQUILINO,3325,63.9,Male,False,0.0208276853244308,385,8,4
STEFAN,3317,42.1,Male,False,0.0207775736003419,386,6,2
BRYAN,3303,17.4,Male,False,0.0206898780831864,387,5,1
ALEJO,3289,39.1,Male,False,0.0206021825660309,388,5,3
ISAIAS,3286,44.8,Male,False,0.0205833906694976,389,6,2
LUKA,3279,6.6,Male,False,0.0205395429109198,390,4,2
NEIZAN,3273,5.0,Male,False,0.0205019591178532,391,6,2
WALID,3269,15.4,Male,False,0.0204769032558088,392,5,2
GIOVANNI,3238,35.1,Male,False,0.0202827203249645,393,8,3
LEON,3235,30.9,Male,False,0.0202639284284311,394,4,1
MELCHOR,3234,60.4,Male,False,0.02025766446292,395,7,2
GUMERSINDO,3233,66.8,Male,False,0.0202514004974089,396,10,4
LANDER,3228,23.6,Male,False,0.0202200806698534,397,6,2
MARIUS,3228,38.4,Male,False,0.0202200806698534,398,6,2
ILYAS,3194,11.7,Male,False,0.0200071058424757,399,5,2
MIMOUN,3177,48.4,Male,False,0.0199006184287869,400,6,2
