Nombre,Frecuencia,Edad Media (*),Gender
ANTHONY,2094,32.0,Male
MANUEL ENRIQUE,2093,49.5,Male
OSCAR MANUEL,2085,43.0,Male
HORACIO,2083,61.2,Male
CARLOS DAVID,2081,33.7,Male
EGOITZ,2080,28.8,Male
PEPE,2080,9.5,Male
RAFAEL JOSE,2071,48.6,Male
OSCAR LUIS,2068,50.5,Male
FERNANDO MANUEL,2066,47.5,Male
SIXTO,2059,61.9,Male
FRANCISCO GABRIEL,2055,45.9,Male
ABDESSAMAD,2054,32.4,Male
ESTANISLAO,2047,59.9,Male
MAHAMADOU,2042,30.9,Male
IGNACIO JOSE,2039,44.9,Male
JORGE ENRIQUE,2037,47.5,Male
SABINO,2037,65.6,Male
TIAGO,2032,12.1,Male
MANUEL LUIS,2031,56.1,Male
LUIS DAVID,2026,29.8,Male
GEORGE,2023,42.4,Male
REDA,2023,17.5,Male
DESIDERIO,2019,65.6,Male
LUIS ALFREDO,2010,44.3,Male
ABDELMAJID,2009,44.0,Male
KAI,2001,10.2,Male
LUIS JESUS,1999,50.2,Male
VICTOR JAVIER,1998,41.8,Male
SEVERIANO,1991,65.7,Male
DAMASO,1989,59.7,Male
ABRAHAN,1986,30.2,Male
BRAYAN,1984,13.9,Male
ABDELKRIM,1982,46.0,Male
HELIODORO,1982,68.4,Male
VENTURA,1981,59.6,Male
CARLOS MARIA,1976,54.1,Male
JOSEP LLUIS,1975,55.1,Male
GILBERTO,1968,56.0,Male
JULIO ANTONIO,1968,54.5,Male
HERMENEGILDO,1967,66.3,Male
ALVARO JOSE,1965,33.9,Male
URIEL,1965,11.9,Male
ANASS,1962,19.3,Male
